iter	Passed	Remaining
361	2369	2120
362	2376	2114
363	2382	2107
364	2388	2100
365	2395	2094
366	2401	2087
367	2408	2081
368	2414	2074
369	2420	2066
370	2425	2059
371	2431	2052
372	2436	2044
373	2442	2037
374	2447	2030
375	2453	2022
376	2459	2015
377	2464	2008
378	2471	2001
379	2476	1994
380	2481	1986
381	2488	1980
382	2493	1972
383	2498	1965
384	2504	1957
385	2509	1950
386	2515	1943
387	2521	1936
388	2527	1929
389	2533	1923
390	2539	1915
391	2545	1908
392	2550	1901
393	2556	1894
394	2562	1887
395	2568	1880
396	2574	1874
397	2580	1867
398	2586	1860
399	2592	1853
400	2599	1847
401	2605	1840
402	2611	1833
403	2616	1826
404	2622	1819
405	2629	1813
406	2635	1806
407	2640	1799
408	2646	1792
409	2652	1785
410	2658	1778
411	2664	1772
412	2670	1765
413	2676	1758
414	2682	1751
415	2690	1746
416	2696	1739
417	2703	1733
418	2709	1726
419	2716	1720
420	2722	1713
421	2728	1706
422	2736	1701
423	2742	1694
424	2748	1688
425	2754	1681
426	2761	1675
427	2767	1668
428	2774	1661
429	2780	1655
430	2786	1648
431	2792	1641
432	2798	1635
433	2806	1629
434	2812	1622
435	2818	1615
436	2824	1609
437	2829	1602
438	2835	1595
439	2841	1588
440	2847	1581
441	2853	1575
442	2859	1568
443	2865	1561
444	2871	1555
445	2877	1548
446	2883	1541
447	2889	1535
448	2895	1528
449	2901	1521
450	2906	1514
451	2912	1507
452	2918	1501
453	2924	1494
454	2930	1487
455	2937	1481
456	2943	1474
457	2949	1468
458	2955	1461
459	2960	1454
460	2967	1448
461	2973	1441
462	2978	1434
463	2984	1428
464	2990	1421
465	2996	1414
466	3001	1407
467	3007	1400
468	3012	1394
469	3018	1387
470	3023	1380
471	3029	1373
472	3034	1366
473	3040	1359
474	3045	1352
475	3050	1345
476	3055	1338
477	3061	1331
478	3066	1325
479	3071	1318
480	3077	1311
481	3082	1304
482	3087	1297
483	3093	1291
484	3099	1284
485	3104	1277
486	3109	1270
487	3115	1264
488	3121	1257
489	3128	1251
490	3133	1244
491	3138	1237
492	3144	1231
493	3149	1224
494	3155	1217
495	3160	1210
496	3165	1203
497	3170	1196
498	3176	1190
499	3182	1183
500	3187	1177
501	3193	1170
502	3198	1163
503	3204	1157
504	3209	1150
505	3214	1143
506	3221	1137
507	3226	1130
508	3231	1123
509	3236	1116
510	3241	1110
511	3246	1103
512	3255	1097
513	3260	1091
514	3269	1085
515	3277	1079
516	3283	1073
517	3288	1066
518	3293	1059
519	3302	1054
520	3309	1048
521	3316	1042
522	3322	1035
523	3327	1028
524	3333	1022
525	3339	1015
526	3345	1009
527	3351	1002
528	3356	996
529	3361	989
530	3367	982
531	3372	976
532	3377	969
533	3381	962
534	3386	955
535	3391	949
536	3396	942
537	3401	935
538	3406	929
539	3411	922
540	3416	915
541	3421	908
542	3425	902
543	3431	895
544	3436	889
545	3441	882
546	3448	876
547	3453	869
548	3458	863
549	3463	856
550	3468	849
551	3473	843
552	3478	836
553	3483	829
554	3488	823
555	3493	816
556	3499	810
557	3504	803
558	3509	797
559	3514	790
560	3520	784
561	3526	778
562	3531	771
563	3536	765
564	3542	758
565	3547	752
566	3552	745
567	3558	739
568	3564	732
569	3569	726
570	3574	719
571	3580	713
572	3585	707
573	3590	700
574	3596	694
575	3602	688
576	3607	681
577	3613	675
578	3618	668
579	3623	662
580	3628	655
581	3634	649
582	3639	643
583	3644	636
584	3649	630
585	3654	623
586	3660	617
587	3666	611
588	3671	604
589	3676	598
590	3682	591
591	3687	585
592	3693	579
593	3699	572
594	3705	566
595	3711	560
596	3716	554
597	3722	547
598	3728	541
599	3734	535
600	3740	528
601	3745	522
602	3751	516
603	3756	510
604	3762	503
605	3768	497
606	3773	491
607	3779	484
608	3784	478
609	3791	472
610	3797	466
611	3802	459
612	3807	453
613	3813	447
614	3818	440
615	3824	434
616	3830	428
617	3836	422
618	3843	416
619	3849	409
620	3855	403
621	3861	397
622	3867	391
623	3872	384
624	3879	378
625	3886	372
626	3891	366
627	3896	359
628	3907	354
629	3913	347
630	3919	341
631	3925	335
632	3930	329
633	3936	322
634	3941	316
635	3947	310
636	3953	304
637	3958	297
638	3962	291
639	3967	285
640	3972	278
641	3976	272
642	3981	266
643	3986	259
644	3991	253
645	3995	247
646	4000	241
647	4005	234
648	4010	228
649	4015	222
650	4020	216
651	4025	209
652	4029	203
653	4035	197
654	4040	191
655	4045	185
656	4051	178
657	4056	172
658	4060	166
659	4065	160
660	4070	153
661	4075	147
662	4080	141
663	4086	135
664	4091	129
665	4095	122
666	4101	116
667	4106	110
668	4111	104
669	4117	98
670	4123	92
671	4130	86
672	4137	79
673	4144	73
674	4151	67
675	4157	61
676	4164	55
677	4173	49
678	4180	43
679	4187	36
680	4193	30
681	4199	24
682	4206	18
683	4212	12
684	4218	6
685	4224	0
