iter	RMSE
0	0.3885809187
1	0.3776333085
2	0.3671044619
3	0.3563183604
4	0.3470387092
5	0.3374962042
6	0.3282919321
7	0.3194526499
8	0.3105574046
9	0.3023044992
10	0.2941677476
11	0.2871653073
12	0.2801400826
13	0.2732896943
14	0.267241219
15	0.2605348961
16	0.2541523538
17	0.2481793893
18	0.2424848783
19	0.2369805615
20	0.2320883273
21	0.2267239601
22	0.2226469559
23	0.2188181059
24	0.2142919865
25	0.2101330325
26	0.2061411453
27	0.2022260058
28	0.1986195267
29	0.195096389
30	0.1914831276
31	0.1883757703
32	0.1853199085
33	0.1824345777
34	0.1797336461
35	0.1772369188
36	0.1748716374
37	0.1723802864
38	0.169802726
39	0.1673846546
40	0.1651557233
41	0.1629513622
42	0.161165923
43	0.1591557427
44	0.1573219209
45	0.1553864874
46	0.1535655588
47	0.1516891057
48	0.1500180912
49	0.1482779749
50	0.1465819482
51	0.1451799217
52	0.1439123898
53	0.1426999127
54	0.1413595453
55	0.1401796888
56	0.1390307173
57	0.1379198484
58	0.136809544
59	0.1356517867
60	0.1345961942
61	0.1337208336
62	0.1326613079
63	0.1314898055
64	0.1305443376
65	0.1297539366
66	0.128790166
67	0.1278530976
68	0.1270350089
69	0.1262786419
70	0.125461487
71	0.1247532387
72	0.1239963073
73	0.1232941199
74	0.1224837055
75	0.1217973425
76	0.1210598202
77	0.120340416
78	0.1196860479
79	0.1189798876
80	0.1184500045
81	0.1178412453
82	0.1172840761
83	0.1167591128
84	0.1162207258
85	0.1156466866
86	0.1150256338
87	0.1146207801
88	0.114163179
89	0.1137392465
90	0.1132519137
91	0.1128524963
92	0.1124414381
93	0.112008541
94	0.111630177
95	0.1112258124
96	0.1108319325
97	0.1103114209
98	0.1098828193
99	0.1094157288
100	0.1089084361
101	0.1084628554
102	0.1081333681
103	0.1077056287
104	0.1072262207
105	0.1067772471
106	0.1064289411
107	0.1061214857
108	0.1058569561
109	0.1053281941
110	0.1050126568
111	0.1046681968
112	0.1043573526
113	0.104031951
114	0.1037440492
115	0.1033733794
116	0.1031385136
117	0.1027967161
118	0.1025625633
119	0.1022888005
120	0.1020018019
121	0.1017024995
122	0.1014966221
123	0.1012710784
124	0.1010634771
125	0.1007493002
126	0.1004427155
127	0.1002900346
128	0.09998833787
129	0.0997676626
130	0.09952678015
131	0.0992939657
132	0.09907244595
133	0.09883230661
134	0.09850345619
135	0.09822234767
136	0.09792624676
137	0.0976567828
138	0.09740456274
139	0.097177592
140	0.09694968715
141	0.09665446683
142	0.09643103682
143	0.09615762204
144	0.09597143353
145	0.09580691849
146	0.09559213055
147	0.09533145788
148	0.09514232693
149	0.09496135118
150	0.09481980146
151	0.09458985213
152	0.09438566339
153	0.09421176509
154	0.09394088044
155	0.09377685578
156	0.09358026522
157	0.09340943831
158	0.09317728953
159	0.09302856644
160	0.09278509031
161	0.09261632512
162	0.09241558148
163	0.0922387366
164	0.09207062677
165	0.09188449407
166	0.09176420571
167	0.0915641904
168	0.09135709762
169	0.09124050352
170	0.09097304096
171	0.09077531061
172	0.09054114125
173	0.09038606806
174	0.09022774096
175	0.09008242579
176	0.08991994821
177	0.08976510219
178	0.0895668049
179	0.08938105321
180	0.08925278347
181	0.08911722122
182	0.08899490864
183	0.08885699518
184	0.08864747912
185	0.08851049924
186	0.08826676723
187	0.08808163137
188	0.08796175713
189	0.08777596687
190	0.08764955654
191	0.08745558255
192	0.08731281708
193	0.08715021898
194	0.08692233233
195	0.08675875808
196	0.08657262975
197	0.08628779857
198	0.08612562489
199	0.08593010445
200	0.08578521044
201	0.08562266412
202	0.08544264505
203	0.08526284114
204	0.08513026893
205	0.08497264343
206	0.08475857442
207	0.08459457741
208	0.08438083422
209	0.08420560125
210	0.08409606074
211	0.08393831679
212	0.08375838071
213	0.08361826951
214	0.08347061054
215	0.08336618833
216	0.08323160118
217	0.08304783156
218	0.08290661161
219	0.08270808721
220	0.08255795983
221	0.08233664146
222	0.08218155485
223	0.0819766598
224	0.08187608689
225	0.08175791129
226	0.08159272217
227	0.08145918288
228	0.08128535713
229	0.08114326512
230	0.08100049416
231	0.08088036703
232	0.08075245311
233	0.08060249175
234	0.08047431615
235	0.08035440964
236	0.08020417008
237	0.08006164879
238	0.07994473848
239	0.07980278577
240	0.07968488459
241	0.07947669171
242	0.07929971653
243	0.07913413792
244	0.07899352836
245	0.0789002216
246	0.07878338984
247	0.07860879531
248	0.07846336971
249	0.0783475931
